complaint_id,facility_id,facility_type,incident_date,notes,severity,fine,Facility Invest Results Abuse,Facility Invest Results Rule,Type Of Abuse
ES133986,505762,AFH,7/31/2013,"On or about July 31, 2013, it was alleged that Reported Perpetrator (RP) failed to provide appropriate food and nutrition for Reported Victim (RV). Witness #1 (W1) stated that the quality of meals RP would provide were poor and unappetizing. On multiple occasions W1 observed RV come to the dining table and see there was not a nutritious meal and would go without eating. Witness #2 (W2) stated a lot of what RP provides is microwaveable dinners. RP provided notes that indicate on 12/8/2012 RV weighed 194 pounds, on 5/13/2013 RV weighed 188 pounds and on 8/3/2013 RV weighed 172 pounds. RV had lost approximately 22 pounds from 12/8/2012 to 8/3/2013. The licensee failed to provide appropriate food and nutrition to RV. The failure is considered neglect of care and constitutes abuse.",2,,,,Neglect
JG135321,505804,AFH,5/22/2012,"Resident #1 was prescribed a narcotic pain medication to be taken on an ""as needed"" basis. The medication was kept in a cabinet at licensee's adult foster home (AFH). On May 22, 2012, it was discovered that one unused 30 count card of Resident #1's narcotic pain medication was missing. The medication was not used to benefit Resident #1 which is considered financial exploitation and constitutes abuse. The theft or destruction of Resident #1's narcotic pain medication was apportioned to an unknown individual. The facility failed to provide a safe environment. Licensee's failure is a violation of Oregon Administrative Rule.",2,,Not Substantiated,Substantiated,Financial abuse
HB150781,505887,AFH,4/1/2015,"On or about April 1, 2015, it was alleged that Reported Perpetrator (RP) failed to administer medication as ordered to Reported Victim (RV). On 3/13/2015 RV was prescibed a Medication #1 25mg, one tablet by mouth, two times daily. On 3/25/2015 Medication #1 was changed to one 25mg tablet at bedtime and 12.5mg tablet daily as needed (PRN). RV's medication administration record for 4/5/2015 did not list Medication #1 as required. Medication #1 was being administered one half tablet in the am and one half tablet in the pm. The licensee failed to administer medication as ordered and failed to have accurate and updated medication administration record. The failures are a violation of Oregon Administrative Rules.",2,,,,
CO15166,505887,AFH,8/18/2015,,2,250,,,
MV118258,505951,AFH,10/13/2011,"On or about October 13, 2011, it was alleged that Reported Perpetrator (RP) failed to provide appropriate care to Reported Victim #1 (RV1) and Reported Victim #2 (RV2). It was determined that RP used derogatory and inappropriate language toward RV1 and RV2. The licensee failed to protect RV1 and RV2 from verbal abuse. The failure is a violation of resident rights and constitute abuse.",3,0,,,Verbal/Mental abuse
ES117728A,506302,AFH,8/7/2011,"On or about August 7, 2011, it was alleged that Reported Perpetrator #1 (RP1) and Reported Perpetrator #2 (RP2) failed to provide a safe environment for Reported Victim #1 (RV1), Reported Victim #2 (RV2), Reported Victim #3 (RV3), Reported Victim #4 (RV4), and Reported Victim #5 (RV5). It was determined that the licensee failed to provide a safe environment for RV1, RV2, RV3, RV4, and RV5. The failures are a violation of Oregon Administrative Rules.",2,0,,,
ES117728B,506302,AFH,8/7/2011,"On or about August 7, 2011, it was alleged that Reported Perpetrator #1 (RP1) and Reported Perpetrator #2 (RP2) failed to provide a safe medication administration system for Reported Victim #1 (RV1). It was determined that for the past six to seven years RP2 stopped administering  RV1's anticonvulsant and antimanic medication without authorization from RV1's primary care physician. During that time RP2 continued to document that the two medications were being administered. The licensee failed to provide a safe medication administration system for RV1. The failure is a violation of resident rights, and constitutes abuse.",2,0,,,Financial abuse
CO12004,506302,AFH,9/9/2011,"The licensor contacted the Adult Foster Home (AFH) on September 9, 2011. The licensor discovered that caregiver #1 had not completed the criminal history process and was not cleared to work in the AFH. Caregiver #1 was not a qualified caregiver and was left alone with residents on September 9, 2011. The licensee_x001A_s failure to ensure that a qualified caregiver was present and available in the foster home twenty-four hours per day on September 15, 2011 is a violation of the Oregon Administrative Rules (OARs).",3,250,,,
ES148398C,506302,AFH,9/4/2014,"On or about September 4, 2014, a complaint was received which alleged that at night Resident #1 (RV1) was restricted to his/her bedroom and the dining room. RV1's bedroom was located off the dining room. There were locks on the outside entrance to the dining room. During the course of the investigation, Witness #1 (W1), Witness #2 (W2), Resident #3 (RV3) and Resident #4 (RV4) reported that the dining room doors were locked at night which limited RV1 to his/her bedroom and dining room. Reported Perpetrator #3 (RP3) acknowledged that he/she locked the dining room from the outside as RV1 had a history of wandering. W1 stated that he/she had a conversation with RP3 approximately one year ago during which W1 specifically advised RP3 that residents may not be locked in a room. RP3_x001A_s actions are a violation of resident rights, are considered involuntary seclusion and constitute abuse. Responsibility for abuse was apportioned to RP3. 



Licensee failed to provide a safe environment for RV1. Licensee_x001A_s failure is a violation of Oregon Administrative Rule.",3,,Not Substantiated,Substantiated,Involuntary Seclusion
CO11015,506349,AFH,12/21/2010,,1,250,,,
NB116618,506517,AFH,3/21/2011,"On or about March 21, 2011, RP2 gave RV a scheduled medication as a PRN (as needed). The Licensee failed to have a safe medication administration system placing the RV at risk for harm.",2,0,,,
NB150264,506517,AFH,2/17/2015,,3,1150,,,Financial abuse
RD133158,506542,AFH,5/2/2013,"On or about May 2, 2013, it was alleged that Reported Perpetrator (RP) failed to provide a safe medication system for Reported Victim (RV). A medication count was conducted and it was discovered that 9.5 of RV's as needed (prn) narcotice pain tablets were missing. According to RV's Medication Administration Record (MAR), RV was last administered the narcotic pain medication on 3/13/2013. RV was prescribed over the counter pain medication and had not needed the narcotice pain medication since it was last administered on 3/13/2013. The licensee failed to provide a safe medication administration system. The failure is a violation of Oregon Administrative Rules.",2,,,,
RB118403,506546,AFH,10/27/2011,"On or about November 7, 2011, it was reported that the Licensee failed to maintain and adequate medication administration system. On October 27, 2011 Licensee did a narcotic pill count for Resident #1 (RV1) and only 91 narcotic pills out of 100 were accounted for. Wrongdoing on the part of the Licensee was substantiated.",2,0,,,Financial abuse
RB105999A,506598,AFH,12/27/2010,"On or about December 21, 2010, Licensee failed to protect Resident 1 and 2 from theft of narcotic pain medications.",2,0,,,Financial abuse
RB105999B,506598,AFH,12/27/2010,"On or about December 16, 2010 through December 29, 2010, Licensee failed to have a safe medication administration system.  Caregiver failed to complete medication administration records appropriately for Residents 1 and 2, failed to properly document administration of PRN medication for Resident 1 and the medication cabinet was not secured as keys were accessible to anyone in the adult foster home.",2,0,,,
RB116868A,506598,AFH,4/28/2011,"On or about April 28, 2011, Resident #1's care plan did not reflect his/her change in care needs.",2,0,,,
RB116868B,506598,AFH,4/28/2011,"Resident #1's medication administration record was not updated following his/her return from the hospital with a new order.  As a result, the resident received one incorrect dose of pain medication on April 29, 2011.",2,0,,,
RS117553A,506598,AFH,7/12/2011,"On or about July 12, 2011 it was reported that the Licensee failed to maintain an adequate medication system. The Licensee would substitute medications and did not note in RV's file. Medication records were poorly kept; inconsistent; inaccurate.",2,0,,,
RB120350A,506598,AFH,6/18/2012,"It was reported that on or about June 18, 2012, Licensee failed to protect Resident #1 from missing medication. It was found that Resident #1 was missing one narcotic pain medication from his/her bubble pack. Licensee replaced the missing narcotic pain medication from a stock of excess medication he/she kept in his/her room. There is no explanation as to what happened to Resident #1's missing narcotic pain medication. Licensee's failures are a violation of Oregon Administrative Rules (OARs). Wrongdoing on the part of the Licensee was substantiated.",2,0,,,
RB120350B,506598,AFH,6/18/2012,"It was reported that on or about June 18, 2012, Licensee failed to maintain an adequate medication system. Licensee had a filing cabinet in his/her room with extra medication in it that belong to resident of the Adult Foster Home (AFH). All of the extra medication were medication that should had been discontinued. Licensee failed to properly dispose of the medication as required. Licensee's failures are a violation of Oregon Administrative Rules (OARs). Wrongdoing on the part of the Licensee was substantiated.",2,0,,,
RB120350C,506598,AFH,6/18/2012,"It was reported that on or about June 18, 2012, Licensee failed to follow physician's orders. Resident #1 (RV1) had physician orders to receive scheduled narcotic medication at 9:00 a.m., noon, 4:00 p.m. and 8:00 p.m. RV1 takes his/her afternoon narcotic medication anywhere from 4:00 p.m. to 5:00 p.m. if he/she asks for it. If RV1 doesn't ask for it then he/she gets it with dinner around 6:00 p.m.  RV1's last dose of narcotic pain medication is given between 9:00 p.m. and 10:00p.m. Licensee's failures are a violation of Oregon Administrative Rules (OARs). Wrongdoing on the part of the Licensee was substantiated.",2,0,,,
CO14083,506662,AFH,4/22/2014,Licensee had unqualified caregiver working in the home alone.,3,250,,,
BH117569B,506847,AFH,7/8/2011,"On or about July 27, 2011, it was alleged that Reported Perpetrator #1 (RP1) and Reported Perpetrator #3 (RP3) failed to treat Reported Victim (RV) with respect and dignity. It was determined that RV was intimidated while living at RP1's and RV did not receive assistance at night. Licensee failed to assure resident rights.",2,0,,,
MS121085,506890,AFH,9/18/2012,"On or about September 18, 2012, it was alleged that Reported Perpetrator (RP) failed to administer ordered medication to Reported Victim (RV). RV had an ordered medication for an anti-depressant and an order for a lipid lowering medication. For the month of August 2012, and September 2012 the anti-depressant and lipid lowering medication were not listed on the Medication Administration Record. It was determined that for the month of August 2012, and September 2012, RV did not receive h/h anti-depressant and lipid lowering medication. The licensee failed to administer two ordered medications to RV. The failures are a violation of Oregon Administrative Rules.",2,0,,,
MS151174A,506890,AFH,5/5/2015,"RV1 was a resident of the adult foster home. RV1 had a history of falls and wandering according to witness interviews and facility documentation. On May 1, 2015 RV1 fell in the driveway of the adult foster home and suffered skin abbrasions on his/her arm. On April 7th, May 1st, May 2nd and May 5th, 2015 RV1 attempted to and/or left the facility without assistance. On May 5th, 2015 RV1 left the facility and wandered down the street. RV1 refused to return to the facility and RP2 walked away from RV1. RV1 fell hitting his/her head on the pavement. RP2 refused to help RV1 up for a period of time and stated to RV1, ""see what happens?"" Both RP2 and RP1 did not call for medical assistance after RV1 hit his/her head on the pavement. RV1's care plan failed to address wandering or falls and failed to list any interventions to prevent and/or respond to them. The facility's failures are considered neglect of care and constitute abuse.",2,,Substantiated,Substantiated,Neglect
MS151174B,506890,AFH,5/5/2015,"On or about May 5, 2015 RV1 left the facility and fell into the road hitting his/her head on the pavement. RP2 approached RV1 while he/she was lying on the ground and ""scolded"" RV1 for ""not listening."" RP2 stated when interviewed that he/she told RV1 while he/she was lying on the ground, ""See what happens?"" Interviews and facility documentation refer to RV1 as ""stubborn"" and ""hard headed."" The facility failed to provide a safe and home-like environment. The facility's failure is a violation of the Oregon Administrative Rules (OAR's).",2,,,,
HB129955B,506917,AFH,5/2/2012,"On or about May 2, 2012, it was alleged that Reported Perpetrator #1 (RP1) failed to protect Reported Victim #1 (RV1) from involuntary seclusion. RV1 is a fall risk and uses a walker for assistance. RV1 is frequently up at night and wanders around the facility using his/her walker. Reported Perpetrator #2 (RP2) removed RV1's walker from his/her bedroom and stored it in the garage so that RV would not be able to use it to walk around the facility during the night. RP2 and RP1 admitted to putting RV1 in his/her bedroom when they cannot keep an eye on RV1. RP1 and RP2 will have RV1 go back into his/her bedroom if RV1 comes out too early. It was determined that the licensee failed to protect RV1 from involuntary seclusion. The failures are a violation of resident rights, are considered involuntary seclusion, and constitutes abuse.",2,0,,,Involuntary Seclusion
HB129955C,506917,AFH,5/2/2012,"On or about May 15, 2012, at approximately 6:00am Resident #1 (RV1) was found at the home of the facility_x001A_s neighbor.  RV1 appeared disoriented and injured. Law enforcement was contacted and RV1 was transported to the hospital for treatment. It was determined that RV sustained a fall after he/she exited the licensee_x001A_s adult foster home (AFH). As a result of the fall RV1 had a concussion, fractured jaw bone, broken ribs, cracked tailbone and some scrapes and cuts. RV1 had a history of exit seeking during the day and night. Prior to the incident on May 15, 2012, an alarm system had been put in place and RV1 had exited the facility during the night without RP being aware RV1 was gone. No other precautions were taken. The licensee failed to provide a safe environment for RV1. The licensee_x001A_s failure is violation of Oregon Administrative Rule and constitutes abuse.",4,750,,,Neglect
MM106004,507085,AFH,12/14/2010,"It was reported that on or about December 14, 2010, Licensee failed to provide a safe environment for Resident #1 (RV1). Local law enforcement was contacted approximately six times in regards to non-residents being at the Adult Foster Home (AFH). Licensee employed 4 individuals prior to their criminal history check being completed and approved. Licensee's failures are a violation of Oregon Administrative Rules. Wrongdoing on the part of the Licensee was substantiated.",2,0,,,
MM153578,507176,AFH,11/13/2015,"On or about November 13, 2015, the Department received a complaint which alleged Licensee had failed to maintain a safe medication administration system. During the course of the investigation, Licensee (RP) acknowledged that she had given Resident #1 (RV) one of his/her prescribed medications in the morning, instead of the evening. The Medication Administration Record (MAR) for RV was reviewed by the Adult Protective Services Specialist (APSS). The MAR did not reflect that the medication was given at other than the prescribed time of day. Additionally, it was discovered that medication had been left in RV's room unattended if RV was not awake at ordered time of day of administration. Licensee failed to provide a safe medication administration system. Licensee's failure is a violation of Oregon Administrative Rule.",2,,,,
MS132119,507341,AFH,1/14/2013,"It was reported that on or about January 14, 2013, Licensee failed to provide Resident #1 with adequate care. Resident #1 had to move to a new facility as Licensee couldn't meet his/her care needs. When Resident #1 arrived at the new facility his/her hair was greasy, there was dirt on his/her face and between his/her toes. Resident #1's forehead and scalp was  scaly and there was dried mucus on his/her neck and face. Additionally, Resident #1 had body odor and his/her clothing was filthy. Licensee's failures are a violation of Oregon Administrative Rules. Wrongdoing on the part of the Licensee was substantiated.",2,0,,,
BH120737A,507351,AFH,7/31/2012,"On or about August 6, 2012, it was alleged that Reported Perpetrator (RP) failed to provide a safe environment for Reported Victim (RV). RV was hospitalized from 8/1/12 to 8/5/12. RV was found to have extensive bruising on RV's left forehead, left chest, and thorax. Hospital notes indicate that the thorax bruising could relate to handling while being transferred into the ambulance. On August 10, 2012, RV made a visit to h/h physician and the notes from the visit dated 8/10/12 state that bruises on left chest and temporal region, in addition to fresh bruising on the central sternum and on the left flank were in different stages of healing. The licensee failed to provide a safe environment for RV. The failure is a violation of resident rights, is considered neglect of care, and constitutes abuse.",2,0,,,Neglect
BH120737B,507351,AFH,7/31/2012,"On or about August 6, 2012, it was alleged that Reported Perpetrator (RP) failed to provide proper nutrition for Reported Victim (RV). On or about 8/1/12 Witness #3 (W3) noticed that RV had not urinated during the evening. RP1 was notified and advised that 911 be contacted. RV was transported to the hospital. RV was found to be dehydrated, anemic and malnourished. The licensee failed to provide proper nutrition for RV. The failure is a violation of resident rights, considered neglect, and constitutes abuse.",2,0,,,Neglect
CO13079,507433,AFH,6/6/2013,"On June 6, 2013, the licensor conducted a renewal inspection at the licensee_x001A_s adult foster home (AFH). During the inspection the licensor found that the smoke detector in Resident #4_x001A_s bedroom was removed. The licensee failed to install all required smoke detectors. The licensee_x001A_s conduct constituted a failure to provide a safe environment and is a violation of Oregon Administrative Rules.",3,250,,,
SV129396,507438,AFH,3/5/2011,"On or about March 5, 2011, it was alleged that Reported Perpetrator #1 (RP1) failed to protect Reported Victim #1 (RV1) and Reported Victim #2 (RV2) from derogatory and threatening verbal comments. It was determined through interviews that RP1 made inappropriate verbal comments toward RV1 and RV2. The licensee failed to protect RV1 and RV2 from inappropriate verbal comments. The failures are a violation of Oregon Administrative Rules.",2,0,,,
MV148878B,507438,AFH,10/10/2014,"On or around October 10, 2014, APS received a complaint that the facility failed to protect RV2 from threats of punishment and humiliation. During the course of the investigation, APS substantiated that RP yelled at RV2 for eating too quickly and choking. RP made inappropriate statements to RV2 when RV2 did not remember to eat slowly. RP took RV2's food three or four times and blended it in a blender for RV2 to drink. RP blended RV2's food as a way to force RV2 to change RV2's behavior.  RP insisted that RV2 drink a blended hamburger, which RP knew tasted terrible blended, and RV2 did not like it. RP's actions are a violation of resident rights, and constitute verbal/mental abuse.",2,,,,Verbal/Mental abuse
CO15188,507438,AFH,9/3/2015,Unqualified Caregivers and unsafe Medication Administration practices.,3,500,,,
ES120061,507628,AFH,5/13/2012,"It was reported that on or about May 13, 2012, Licensee failed to provide a safe environment for Resident #1 (RV1). On May 13, 2012, RV1 wandered out of the facility while the caregiver on duty was in the back of the house caring for the other residents. The alarm that was used to alert the caregiver if RV1 opened the door was inoperable as it was in the off position. Licensee's are a violation of Oregon Administrative Rules. Wrongdoing on the part of the Licensee was substantiated.",2,0,,,
RD118155,507721,AFH,9/14/2001,"On or about September 20, 2011, it was reported that the licensee had not administered Resident #1's regular bedtime dose of an anti-anxiety medication on September 7, 2011 and September 8, 2011, as ordered by his/her medical professional. The investigation concluded that the licensee had failed to follow physician orders. Wrongdoing on the part of the licensee was substantiated.",2,0,,,
CO14226,507721,AFH,10/31/2014,"Provider has not completed required documentation for activities (offer and participation in six hours of weekly activities geared towards resident's interests) for 3 years.  Violations were issued 10/31/12, 10/28/13, and 5/13/14, along with 10/14.",1,100,,,
SV117984C,507836,AFH,9/5/2011,"On or about September 5, 2011, Reported Perpetrator #2 (RP2) left the medication storage cabinet unlocked and unattended. Resident #1 (RV1) took medication from the unlocked medication cabinet and ingested them. RP2 then contacted RV1_x001A_s primary care physician and RP2 was directed to monitor RV1 for twenty four hours. The licensee failed to properly secure and store medication which placed RV1 at risk of serious harm. The failure is violation of Oregon Administrative Rule.",3,400,,,Neglect
MV128860,507836,AFH,1/5/2012,"On or about April 15, 2011, an emergency room physician wrote an order allowing the use of a  gait belt as needed (PRN) when Resident #1 (RV1) is in a chair. Oregon Administrative Rule does not allow for PRN orders when restraints are used in an adult foster home. During the course of the investigation the facility admitted that they have used a velcro posey belt when RV1 has been in his/her wheelchair. RV1's care plan does not address physical/chemical restraints or alternative interventions. Facility failed to use a physical restraint in compliance with Oregon Administrative Rules.",2,0,,,
AL152057,508104,AFH,10/23/2014,"On or about October 23, 2014, the Department received a complaint which alleged the facility had failed to maintain accurate medication records. Resident #1 (RV) was prescribed multiple medications, including a blood thinner, a beta blocker and a blood pressure medication. During the course of the investigation, the Adult Protective Services Specialist (APSS) discovered that RV often refused to take his/her medications. On other occasions, staff at Licensee's adult foster home failed to dispense one or more of RV's medications. Staff failed to properly document all instances of refused or missed medications. Facility's failure to maintain a safe medication administration system is a violation of Oregon Administrative Rule.",2,,,,
HB116901,508112,AFH,5/4/2011,"It was reported that on or about May 4, 2011, Licensee failed to provide appropriate care for Resident #1 (RV1). Witness #1 (W1) arrived at the facility on May 5, 2011, during W1's visit RV1 had a bowel movement. W1 alerted staff and requested they clean RV1, after approximately an hour W1 reminded staff again that RV1 had a bowel movement. Finally W1 insisted a third time and facility staff cleaned RV1. RV1 waited over two hours for facility staff to clean him/her after having a bowel movement. Licensee's failures are a violation of resident rights. Wrongdoing on the part of the Licensee has been substantiated.",2,0,,,
CO16010,508112,AFH,1/7/2016,"Licensee failed to assure that a cregiver was qualified to provide care. Midigated factor, Licensee did sumbit a background check request before caregiver's approval had expired, but in insufficient time for the request to be approved. CP sanction granted for 200.00 - 50.00 = 150.00",3,150,,,
ES128935,508189,AFH,1/13/2012,"It was reported that on or about January 13, 2012, Licensee failed to provide and adequate medication system. Licensee failed to ensure Resident #1 received his/her medication as ordered by his/her physician. Licensee's failures are a violation of Oregon Administrative Rules. Wrongdoing on the part of the Licensee was substantiated.",2,0,,,
RD120491,508193,AFH,5/17/2012,"On or about May 17, 2012, it was alleged that Reported Perpetrator (RP) failed to provide a safe medication administration system for Reported Victim #1 (RV1). Between 4/19/12 and 5/24/12 RV1 underwent three rounds of antibiotics to cure a urinary tract infection. On 5/18/12 RV1's physician requested a urine sample for RV1 from RP. The urine sample was not submitted to the lab until 5/24/12. RV1's physician faxed an order to the RP for a blood draw for RV1 on 5/18/12. The blood draw was not done, another order was faxed by RV1's physician on 5/22/12 to have RV1's blood drawn by 5/23/12. RV1's blood was not drawn, another order was faxed to have RV1's blood drawn on 5/30/12. RV's blood was drawn on 5/30/12 and submitted. An order was faxed to the RP on 5/30/12 doubling RV's dose of blood thinner, the RP did not see the fax until the following day. The blood thinner was not doubled until 5/31/12.",2,0,,,
CO12020,508222,AFH,6/1/2011,"The licensor conducted a monitoring visit at the licensee_x001A_s Adult Foster Home (AFH) on June 1, 2011. Upon arrival, the licensor discovered that the licensee or resident Manager was not on the property and there was not a qualified caregiver on duty. The licensee_x001A_s failure to provide a safe environment is a violation of Oregon Administrative Rules.",3,250,,,
FL133619,508271,AFH,6/24/2013,"On or about June 26, 2013, it was alleged that Reported Perpetrator #1 (RP1) failed to follow Reported Victim's (RV) care plan. RV's care plan notes that RV cannot walk and needs assistance in transferring. RV is a known fall risk and requires assistance in most activities of daily living. Reported Perpetrator #2 (RP2) took RV to the restroom. RP2 walked off the job and left RV on the toilet unattended. RV attempted to transfer unassisted which resulted in RV falling. RP1 heard RV fall and called Witness #2 for assistance. RV did not sustain any injury from the fall. Facility failed to provide a safe environment. Licensee's failure is a violation of Oregon Administrative Rule.",2,,Not Substantiated,Substantiated,Neglect
CO16019,508271,AFH,1/26/2016,"Applicant failed to submit true and accurate information on the Department_x001A_s Provider Enrollment Agreement form. The Department has determined that applicant does not possess the appropriate good judgment and good personal character, including truthfulness, determined necessary by the Department to provide 24-hour care for adults who are older or adults with physical disabilities.",3,0,,,
ES133775,508287,AFH,7/3/2013,"On or about July 3, 2013, it was alleged that Reported Perpetrator (RP) failed to provide appropriate staffing for Reported Victim #1 (RV1), Reported Victim #2 (RV2), Reported Victim #3 (RV3), Repoted Victim #4 (RV4), and Reported Victim #5 (RV5). Witness #1 (W1) made an announced visit to the licensee's adult foster home (AFH). Upon arrival W1 knocked on the door and did not get a response. After waiting approximately one minute W1 entered the AFH. W1 observed an RV at the dining table slumped over. W1 called out and no caregiver responded. After waiting approximately five minutes W1 called a contact number for the AFH. Three caregivers came from outside of the AFH. RV's were left alone for an uknown amount of time. The licensee failed to assure resident rights. The failure is a violation of Oregon Administrative Rules.",2,,,,
ES146081,508287,AFH,2/12/2014,"On or about February 12, 2014, Witness #3 (W3) arrived at licensee_x001A_s (RP1) adult foster home (AFH) to conduct a visit with Resident #1 (RV1). RP1 reported that W3 began his/her conversation with RV1 by asking RV1 if he/she was happy at the AFH. RP1 expected W3 to speak with RV1 only about medical issues but the conversation wasn_x001A_t about RV1_x001A_s medical needs. RP1 wanted to be a part of the W3_x001A_s visit with RV1 but W3 _x001A_didn_x001A_t want me to sit in_x001A_. RP1 stated that she thought it was wrong of W3 not to include RP1 in W3_x001A_s interview with RV1.



During the conversation between RV1 and W3 that occurred in RV1_x001A_s room, RV1 reported to W3 that Reported Perpetrator #2 (RP2) yelled at RV1 and had often told him/her that RV1 was faking his/her disability. RP1 entered RV1_x001A_s room and demanded to know what RV1 had said about RP2. RV1 told RP1 that RP2_x001A_s hollering made RV1 _x001A_feel bad_x001A_. RP1 directly yelled at RV1 to stop telling W3 he/she is being abused or RP1 will _x001A_kick you [RV1] out immediately_x001A_. W3 stated that RP1 also told RV1, _x001A_You have damaged my floors because you are so fat. You are hated by all the clients in the home. None of us want you here._x001A_ W3 advised RP1 that she should not be speaking to RV1 in that tone of voice and stating hurtful things. Additionally, W3 pointed out that RP1 cannot kick RV1 out for reporting an allegation of abuse.



RP2 then entered RV1_x001A_s room and confronted RV1 and demanded to know what RV1 had accused him/her of doing. W3 reported that RP2_x001A_s tone of voice was _x001A_very angry and harsh_x001A_. RV1 started to give an example that RP2 often told RV1 that there was nothing wrong with RV1 and that he/she can take care of him/herself. RP2 just laughed. 



RP1 told W3 that his/her interview with RV1 was over and RP1 immediately escorted W3 from the AFH. W3 reported that he/she was reluctant to leave RV1 because RV1 was _x001A_shaking and visibly upset_x001A_. RV1 was afraid of what was going to happen to him/her after RP1 made W3 leave him/her alone with RP1 and RP2, RP2 _x001A_scares me_x001A_. 



RV1 and W1 reported that when RV1 began crying that day, he/she had called Witness #1 (W1). W1 also stated that RV1 had nightmares for days after this incident. 



During the course of the investigation, RP1 acknowledged that W3 had also indicated that he/she needed to visit with another resident but RP1 told W3 that he/she could not see the other resident (RV2).

Licensee failed to provide a safe environment as evidenced by:  inappropriate verbal interactions between RP1 and RV1 and RP2 and RV1; restriction of RV1 and RV2_x001A_s ability to communicate privately with an individual of their choosing; and retaliation against RV1 and W3 who was acting on RV1_x001A_s behalf when a complaint was made. Licensee_x001A_s failures are a violation of resident rights and constitute emotional abuse. 



Responsibility for abuse has been apportioned to RP1 and RP2.",3,450,Substantiated,Substantiated,Verbal/Mental abuse
PT121888A,508355,AFH,12/1/2012,"On or about December 1, 2012, it was alleged that Reported Perpetrator #1 (RP1) failed to protect Reported Victim (RV) from inappropriate verbal comments. Reported Perpetrator #2 (RP2) and RV butt heads. RP2 has been witnessed yelling at RV. RP2 admitted that h/she has raised h/h voice toward RV. It was determined that the licensee failed to protect RV from loss of dignity. The failure is a violation of Oregon Administrative Rule.",2,0,,,
PT121888B,508355,AFH,12/1/2012,"On or about December 1, 2012, it was alleged that Reported Perpetrator #1 (RP1) failed to provide appropriate care and services to Reported Victim (RV). RV's room had a strong odor of urine and feces. RV's commode was observed to be filled with urine and feces and not emptied at approximately 1:00pm. Reported Perpetrator #2 (RP2) is instructed to change the commode every morning. RP2 stated that it is possible h/she overlooked emptying the commode. The licensee failed to provide appropriate care to RV. The failure is a violation of Oregon Administrative Rule.",1,0,,,
CO11061,508371,AFH,4/29/2011,,2,250,,,
MM118708,508371,AFH,12/12/2011,"On or about December 12, 2011, it was alleged that Reported Perpetrator #1 (RP1) failed to protect Reported Victim #1 (RV1) from inappropriate sexual advances. It was determined that Reported Perpetrator #2 (RP2) made inappropriate sexual comments toward RV1. The licensee failed to protect RV1 from verbal abuse resulting in RV1 feeling afraid, anxious, and uncomfortable. The failure is a violation of resident rights, and constitutes abuse.",3,0,,,Verbal/Mental abuse
MM128897,508371,AFH,10/31/2011,"On or about October 31, 2011, it was alleged that Reported Perpetrator #1 (RP1) failed to protect Reported Victim #1 (RV1) from inappropriate sexual contact. It was reported that RP2 sexually abused RV1. It was determined through interviews and observations that RP2 had a sexual relationship with RV1. The licensee failed to protect RV1 from inappropriate sexual contact. The failure is a violation of resident rights and constitutes abuse.",4,0,,,Sexual abuse
CO13139,508381,AFH,10/30/2013,"Licensee failed to have a safe medication administration system, failed to orient residents to the home and failed to have qualified caregivers.",3,750,,,
MF134965,508381,AFH,11/6/2013,"It was reported that on or about November 6, 2013, Licensee failed to provide proper care to Resident #1 by failing to follow Resident #1's care plan. Licensee's failures are a violation of Oregon Administrative Rules is considered neglect and constitutes abuse. Wrongdoing on the part of the Licensee was substantiated.",2,,,,Neglect
CO14043,508381,AFH,12/5/2013,Licensee repetitively fails to provide a safe medication administration system,3,0,,,Neglect
CO14086,508412,AFH,4/30/2014,"On April 29, 2014, the licensee submitted her annual criminal background check. The licensor discovered the licensee's criminal background check had expired on 11/19/2013.The licensee operated the adult foster home (AFH) for approximately five months without a cleared criminal background check. The licensor made a visit to the licensee's AFH on 4/30/2014. During that visit the licensee acknowledged that she had operated the AFH without a cleared criminal background check for several months. The licensee's plan of operation notes that the licensee provides care alone for several hours at least two times a week. The licensee's conduct constituted a failure to provide a safe environment. The failure is a violation of Oregon Administrative Rules.",3,250,,,
CO14123,508412,AFH,6/4/2014,"A renewal visit was conducted at the licensee's adult foster home (AFH) on June 4, 2014. Upon arrival caregiver KM was present. During the visit it was discovered that KM did not have an approved criminal background check as a caregiver. KM did have an approved criminal background check as a resident manager. It was acknowledged that KM was not working in the position of a resident manager. The licensee's conduct constituted a failure to provide a safe environment. The failure is a violation of Oregon Administrative Rules.",3,200,,,
CO15240,508412,AFH,12/1/2015,uqualifed caregiver and MARs not initialed.,3,450,,,
